,City,Lat,Long,Temp,Cloud,Wind,Humidity
1364,toguchin,55.24,84.4,65.41,48,3.51,89
1367,kasane,-17.8,25.16,51.73,0,2.95,68
1368,bintulu,3.17,113.03,73.4,90,4.7,94
1371,plover,44.46,-89.54,69.04,90,9.17,88
1375,zhigansk,66.77,123.37,54.97,20,5.86,73
1379,tecoanapa,16.99,-99.26,87.8,75,8.05,58
1385,karratha,-20.74,116.85,46.96,0,12.12,34
1388,san martin,37.08,-121.61,70.66,1,20.8,49
1393,vila,45.18,8.4,70.68,0,2.24,53
1394,chicama,-7.84,-79.15,66.2,90,11.41,77
1401,albion,41.69,-98,77.47,75,5.82,65
1405,juegang,32.31,121.18,82.69,80,12.91,76
1406,huilong,28.89,110.18,77.47,64,6.42,76
1407,tadine,-21.55,167.88,71.35,68,21.85,100
1408,yelan,50.95,43.74,70.18,68,7.31,73
1409,japura,-0.42,102.29,72.79,68,2.39,92
1413,mao,19.55,-71.08,88.68,75,12.75,52
1415,san cristobal,-0.39,-78.55,60.8,75,18.34,59
1421,victoria,5.28,115.24,75.2,75,9.55,100
1425,sale,53.42,-2.32,69.46,88,3.36,38
1433,priiskovyy,51.93,116.63,52.63,0,4.41,87
1434,neiafu,-18.65,-173.98,77,75,4.7,88
1442,mingguang,32.78,118.01,79.45,92,7.76,89
1443,mindelo,41.31,-8.72,62.98,20,5.82,93
1446,borba,38.81,-7.46,68.38,0,10,60
1448,moose factory,51.26,-80.61,82.4,1,12.75,39
1453,marshfield,42.09,-70.71,75.9,1,10.29,38
1454,sarakhs,36.54,61.16,77,0,11.41,25
1460,takoradi,4.89,-1.75,78.01,68,8.55,96
1462,ponta delgada,37.73,-25.67,73.4,20,5.82,83
1471,faya,18.39,42.45,74.32,0,4.7,46
1476,suez,29.97,32.54,72.61,0,3.29,52
1482,matay,28.42,30.79,77.29,0,4.63,45
1491,nizhniy kuranakh,58.84,125.49,58.03,12,3.4,97
1501,sandusky,41.45,-82.71,79.63,90,5.82,54
1503,lorengau,-2.02,147.27,82.24,64,10.33,100
1504,lincoln,53.23,-0.54,61.39,0,5.82,87
1510,whitehorse,60.72,-135.06,53.6,75,2.24,47
1512,vernon,50.27,-119.27,68,75,16.11,32
1519,panzhihua,26.59,101.72,62.8,76,2.17,98
1520,jacareacanga,-6.22,-57.76,91.4,0,3.36,46
1521,warangal,17.99,79.6,76.93,80,6.76,82
1522,lianzhou,24.79,112.38,71.71,76,2.17,99
1526,langsa,4.47,97.97,68.65,92,2.62,94
1527,usinsk,66,57.56,56.5,0,5.64,81
1528,susanville,40.42,-120.65,84.2,1,5.82,20
1534,mokhsogollokh,61.4,128.95,60.82,32,3.62,94
1537,agadez,16.97,7.99,82.69,0,8.32,33
1538,poquoson,37.12,-76.35,78.15,1,10.29,57
1539,nanfeng,27.22,116.52,78.46,8,5.97,77
1541,benjamin constant,-4.38,-70.03,87.8,40,2.24,58
1543,stare mesto,50.09,14.42,59,40,2.24,72
1548,baruun-urt,46.68,113.28,54.88,44,12.68,91
1549,dali,25.6,100.24,58.84,92,1.95,100
1551,namibe,-15.19,12.15,69.91,0,13.69,99
1553,lavrentiya,65.58,-170.99,44.71,32,14.47,81
1555,yumen,40.29,97.04,63.34,0,4.07,62
1561,xuddur,4.12,43.89,76.3,20,12.24,60
1562,gondar,41.82,-8.78,60.8,75,8.05,87
1567,tabas,33.6,56.92,64.96,0,2.28,23
1570,itoman,26.12,127.67,80.55,20,8.05,78
1571,dhidhdhoo,6.88,73.1,79.99,12,16.15,100
1573,butte,46.01,-112.54,71.6,1,14.99,19
1581,kochubey,44.39,46.54,77.11,92,6.64,91
1588,ocean city,30.44,-86.61,86,40,9.17,62
1595,kruisfontein,-34,24.73,59.74,0,11.68,91
1599,kaabong,3.51,34.14,61.09,56,1.61,96
1601,cartagena,37.63,-1,75.2,75,4.7,83
1608,volchikha,52.02,80.36,63.07,32,6.08,72
1612,san juan,-31.54,-68.53,58.84,0,3.4,53
1615,gizo,31.8,34.94,78.8,40,3.36,74
1619,agirish,61.92,63.02,64.51,36,2.06,85
1623,oshawa,43.92,-78.86,71.58,1,11.41,33
1624,makokou,0.56,12.85,72.43,20,2.17,96
1627,villa maria,4.5,-74.09,69.21,75,9.17,62
1629,luganville,-15.51,167.18,73.4,40,14.99,88
1630,williams lake,52.13,-122.14,60.8,75,8.05,31
1634,canon city,39.46,-117.13,90.88,0,3.51,6
1636,allende,28.34,-100.85,96.19,0,16.6,41
1639,kentau,43.52,68.5,69.28,36,5.08,38
1641,cururupu,-1.82,-44.87,81.43,8,7.99,68
1648,santa marta,11.24,-74.21,91.4,20,4.7,63
1672,ferkessedougou,9.6,-5.2,81.79,80,4.63,68
1675,avera,33.19,-82.53,89.94,1,3.96,59
1677,vadnagar,23.78,72.63,76.93,76,6.42,95
1679,port-de-bouc,43.4,4.98,70.16,0,3.36,100
1681,ladario,40.7,-7.74,60.55,0,2.84,81
1690,sorland,67.67,12.69,50,75,18.34,61
1692,nizhniy odes,63.64,54.86,70.72,36,3.96,61
1695,udachnyy,66.42,112.4,55.51,92,4.07,98
1696,asbestos,45.78,-71.93,71.6,20,12.75,37
1697,townsville,-19.26,146.82,64.4,40,4.7,88
1708,analipsis,35.32,25.57,75.2,75,10.29,69
1719,batemans bay,-35.71,150.18,44.62,56,2.95,100
1720,deep river,46.1,-77.49,75.2,20,3.36,41
1728,vidim,50.47,14.53,59,40,2.24,72
1732,ambilobe,-13.19,49.05,73.15,0,13.24,78
1735,jian,25.65,87.89,78.55,12,6.98,96
1738,dengzhou,32.69,112.08,80.62,80,4.07,82
1746,saiha,22.49,92.98,69.64,100,1.95,99
1748,toppenish,46.38,-120.31,67.03,40,6.93,29
1750,nantucket,41.28,-70.1,70.97,1,11.41,88
1756,sola,62.78,29.36,66.2,75,4.7,63
1774,kalaleh,37.38,55.49,69.01,0,2.17,63
1784,kantang,7.42,99.52,79.54,48,2.95,100
1785,bilma,18.69,12.92,80.98,0,2.95,27
1787,henties bay,-22.12,14.28,54.34,0,9.55,100
1792,harper,30.3,-99.24,95.61,40,12.75,34
1795,bandarbeyla,9.49,50.81,77.47,12,30.24,81
1796,malyye derbety,47.95,44.68,86.92,88,11.12,24
1797,labuhan,-2.54,115.51,71.71,92,2.17,98
1798,port macquarie,-31.43,152.91,46.4,75,5.82,93
